"File","Lines"
"crm\src\verticals\registry.ts","49"
"plugin\src\adapter\pendingAction.js","42"
"plugin\src\adapter\actionLabels.js","41"
"agent\verticals\base.py","41"
"api\action_truth.py","41"
"crm\src\verticals\types.ts","40"
"scripts\check_contracts.py","40"
"plugin\src\constants.js","38"
"crm\src\verticals\shared.ts","38"
"plugin\src\adapter\controlSelectors.js","36"
"agent\verticals\finance_broker.py","35"
"agent\verticals\insurance.py","35"
"agent\verticals\healthcare.py","33"
"agent\verticals\food.py","33"
"agent\verticals\real_estate.py","33"
"api\routes\analytics.py","33"
"agent\verticals\automotive.py","33"
"crm\src\components\ui\Panel.tsx","33"
"agent\verticals\construction.py","32"
"agent\verticals\education.py","32"
"agent\verticals\generic.py","32"
"plugin\build.js","32"
"agent\local_urls.py","32"
"crm\src\verticals\workspace.ts","32"
"plugin\src\actionExecutor\entityActions.js","31"
"agent\verticals\ecommerce.py","31"
"crm\src\components\ui\EmptyState.tsx","29"
"crm\src\components\shared\ActivityList.tsx","29"
"crm\src\components\ui\ClientStatusChip.tsx","29"
"crm\eslint.config.js","26"
"agent\verticals\legal_services.py","26"
"agent\verticals\events_ticketing.py","25"
"agent\verticals\jobs_recruiting.py","25"
"crm\src\verticals\insurance.ts","25"
"agent\verticals\travel.py","25"
"crm\src\verticals\healthcare.ts","24"
"crm\src\verticals\financeBroker.ts","24"
"crm\src\verticals\legalServices.ts","24"
"crm\src\verticals\generic.ts","24"
"crm\src\verticals\food.ts","23"
"crm\src\verticals\jobsRecruiting.ts","23"
"crm\src\verticals\automotive.ts","23"
"crm\src\verticals\eventsTicketing.ts","23"
"crm\src\verticals\realEstate.ts","23"
"crm\src\components\shared\TechnicalDetails.tsx","23"
"crm\src\verticals\ecommerce.ts","23"
"crm\src\verticals\travel.ts","23"
"crm\src\verticals\construction.ts","22"
"tests\test_prompt_salesperson_rules.py","22"
"crm\src\verticals\education.ts","22"
"plugin\src\actionExecutor\runtimeAction.js","21"
"crm\src\components\shared\RangeControl.tsx","21"
"agent\actions\__init__.py","19"
"crm\src\utils\clientLinks.ts","18"
"crm\src\components\shared\NoticeBanner.tsx","17"
"agent\verticals\__init__.py","17"
"crm\vite.config.ts","16"
"crm\src\components\ui\Field.tsx","15"
"crm\src\utils\range.ts","15"
"crm\src\components\ui\Table.tsx","14"
